,time,theta,psi
571,9.51666666666667000000E+00,1.52892666392770000000E+01,1.64246281120612000000E-01
572,9.53333333333333000000E+00,1.53947487372310000000E+01,9.91036326280863000000E-02
573,9.55000000000000000000E+00,1.55002308351851000000E+01,3.39609841355539000000E-02
574,9.56666666666667000000E+00,1.56087794204090000000E+01,4.65388550785244000000E-02
575,9.58333333333333000000E+00,1.57173723525653000000E+01,6.02407048040714000000E-02
576,9.60000000000000000000E+00,1.58259652847216000000E+01,7.39425545296166000000E-02
577,9.61666666666667000000E+00,1.59345582168779000000E+01,8.76444042551636000000E-02
578,9.63333333333333000000E+00,1.60431511490342000000E+01,1.01346253980709000000E-01
579,9.65000000000000000000E+00,1.61488452103386000000E+01,1.50752999472651000000E-01
580,9.66666666666667000000E+00,1.62527099135146000000E+01,2.22691635699064000000E-01
581,9.68333333333333000000E+00,1.63565746166907000000E+01,2.94630271925477000000E-01
582,9.70000000000000000000E+00,1.64601098836066000000E+01,3.66539866994380000000E-01
583,9.71666666666667000000E+00,1.65560426289379000000E+01,4.37779268603855000000E-01
584,9.73333333333333000000E+00,1.66519753742692000000E+01,5.09018670213322000000E-01
585,9.75000000000000000000E+00,1.67479081196005000000E+01,5.80258071822790000000E-01
586,9.76666666666667000000E+00,1.68392741183574000000E+01,6.37025237421483000000E-01
587,9.78333333333333000000E+00,1.69254896972787000000E+01,6.77470478823551000000E-01
588,9.80000000000000000000E+00,1.70117052762001000000E+01,7.17915720225623000000E-01
589,9.81666666666667000000E+00,1.70979208551215000000E+01,7.58360961627691000000E-01
590,9.83333333333333000000E+00,1.71749932549207000000E+01,7.66313346261113000000E-01
591,9.85000000000000000000E+00,1.72510316647176000000E+01,7.70591156810698000000E-01
592,9.86666666666667000000E+00,1.73270700745145000000E+01,7.74868967360282000000E-01
593,9.88333333333333000000E+00,1.73998770453197000000E+01,7.70655225191243000000E-01
594,9.90000000000000000000E+00,1.74660283940385000000E+01,7.48951885982503000000E-01
595,9.91666666666667000000E+00,1.75321797427573000000E+01,7.27248546773765000000E-01
596,9.93333333333333000000E+00,1.75983310914761000000E+01,7.05545207565025000000E-01
597,9.95000000000000000000E+00,1.76573773861920000000E+01,6.74592282519519000000E-01
598,9.96666666666667000000E+00,1.77141214223414000000E+01,6.40642203867461000000E-01
599,9.98333333333333000000E+00,1.77708654584907000000E+01,6.06692125215403000000E-01
600,1.00000000000000000000E+01,1.78260616995840000000E+01,5.72397077439682000000E-01
601,1.00166666666667000000E+01,1.78743802263576000000E+01,5.36569139975256000000E-01
602,1.00333333333333000000E+01,1.79226987531312000000E+01,5.00741202510838000000E-01
603,1.00500000000000000000E+01,1.79710172799048000000E+01,4.64913265046413000000E-01
604,1.00666666666667000000E+01,1.80149126495071000000E+01,4.31331600242515000000E-01
605,1.00833333333333000000E+01,1.80560054222573000000E+01,3.99173216693111000000E-01
606,1.01000000000000000000E+01,1.80970981950074000000E+01,3.67014833143710000000E-01
607,1.01166666666667000000E+01,1.81379260342380000000E+01,3.35111683705868000000E-01
608,1.01333333333333000000E+01,1.81724888152348000000E+01,3.09244224186392000000E-01
609,1.01500000000000000000E+01,1.82070515962315000000E+01,2.83376764666912000000E-01
610,1.01666666666667000000E+01,1.82416143772282000000E+01,2.57509305147435000000E-01
611,1.01833333333333000000E+01,1.82761771582250000000E+01,2.31641845627955000000E-01
612,1.02000000000000000000E+01,1.83067523033620000000E+01,2.10473991218489000000E-01
613,1.02166666666667000000E+01,1.83353476635561000000E+01,1.91639400868885000000E-01
614,1.02333333333333000000E+01,1.83639430237501000000E+01,1.72804810519285000000E-01
615,1.02500000000000000000E+01,1.83925383839441000000E+01,1.53970220169681000000E-01
616,1.02666666666667000000E+01,1.84197051625534000000E+01,1.36871164146313000000E-01
617,1.02833333333333000000E+01,1.84434725438173000000E+01,1.23901918309979000000E-01
618,1.03000000000000000000E+01,1.84672399250811000000E+01,1.10932672473643000000E-01
619,1.03166666666667000000E+01,1.84910073063450000000E+01,9.79634266373104000000E-02
620,1.03333333333333000000E+01,1.85147746876088000000E+01,8.49941808009742000000E-02
621,1.03500000000000000000E+01,1.85351058474872000000E+01,7.60650378374024000000E-02
622,1.03666666666667000000E+01,1.85551525986826000000E+01,6.74702855339770000000E-02
623,1.03833333333333000000E+01,1.85751993498780000000E+01,5.88755332305535000000E-02
624,1.04000000000000000000E+01,1.85952461010733000000E+01,5.02807809271282000000E-02
625,1.04166666666667000000E+01,1.86137853296222000000E+01,4.34051550410728000000E-02
626,1.04333333333333000000E+01,1.86310972049592000000E+01,3.79291600892646000000E-02
627,1.04500000000000000000E+01,1.86484090802962000000E+01,3.24531651374573000000E-02
628,1.04666666666667000000E+01,1.86657209556332000000E+01,2.69771701856492000000E-02
629,1.04833333333333000000E+01,1.86826713274693000000E+01,2.19032208403189000000E-02
630,1.05000000000000000000E+01,1.86979623228132000000E+01,1.86747447106144000000E-02
631,1.05166666666667000000E+01,1.87132533181571000000E+01,1.54462685809094000000E-02
632,1.05333333333333000000E+01,1.87285443135010000000E+01,1.22177924512052000000E-02
